Município;Cargo;Nome;Partido;Genero
GARANHUNS;VEREADOR;LELEU ANDRADE;PT;MASCULINO
GARANHUNS;VEREADOR;LUIZINHO ROLD√ÉO;PSB;MASCULINO
GARANHUNS;VEREADOR;THIAGO PAES;PL;MASCULINO
PASSIRA;VEREADOR;TOINHO DE ANT√îNIO LU√çS;PSD;MASCULINO
TRINDADE;VEREADOR;LANDIM;PSDB;MASCULINO
ABREU E LIMA;VEREADOR;JAIRO KAITO;REPUBLICANOS;MASCULINO
ABREU E LIMA;VEREADOR;CARMINHA;SOLIDARIEDADE;FEMININO
INGAZEIRA;VEREADOR;LINO FILHO;PSB;MASCULINO
SANTA CRUZ DO CAPIBARIBE;VEREADOR;IRM√ÉO SOARES;PSD;MASCULINO
S√ÉO BENEDITO DO SUL;VEREADOR;MARQUINHOS;PSDB;MASCULINO
TIMBA√öBA;VEREADOR;NETO APOLIN√ÅRIO JUNTOS;PP;MASCULINO
TIMBA√öBA;VEREADOR;RISALVA BRAND√ÉO;PSB;FEMININO
TRIUNFO;VEREADOR;LEONARDO DA AREIA;PSDB;MASCULINO
VIC√äNCIA;VEREADOR;LILLY DE ANG√âLICAS;PP;FEMININO
VIC√äNCIA;VEREADOR;VALERIA QUEIROGA;PSDB;FEMININO
TUPANATINGA;PREFEITO;PROFESSOR RONALDO;PP;MASCULINO
VIT√ìRIA DE SANTO ANT√ÉO;PREFEITO;PAULO ROBERTO;MDB;MASCULINO
CAPOEIRAS;VEREADOR;Z√â CHOPINHO;PSB;MASCULINO
CAPOEIRAS;VEREADOR;Z√â GABIR√ö;PSB;MASCULINO
CAPOEIRAS;VEREADOR;√âRICO BARBOSA;PT;MASCULINO
PARNAMIRIM;VEREADOR;EDINEUSA DE Z√â VALDO;SOLIDARIEDADE;FEMININO
PARNAMIRIM;VEREADOR;PROFESSOR ELSON;PP;MASCULINO
PARNAMIRIM;VEREADOR;ANDRYELE;PP;MASCULINO
PARNAMIRIM;VEREADOR;REGI DE DUD√â;PSD;MASCULINO
PARNAMIRIM;VEREADOR;EDIVAN FALC√ÉO;MDB;MASCULINO
PETROL√ÇNDIA;VEREADOR;NEGO ALMEIDA;REPUBLICANOS;MASCULINO
PETROL√ÇNDIA;VEREADOR;NALDO DA AMBULANCIA;PSD;MASCULINO
SANHAR√ì;VEREADOR;LUCIANO FERNANDES;PSDB;MASCULINO
SANTA CRUZ DA BAIXA VERDE;VEREADOR;NILDO DE ELUXA;PODE;MASCULINO
TACAIMB√ì;VEREADOR;CLARICE DE RAMOS;PT;FEMININO
CAET√âS;VEREADOR;MOREIRA DO ATOLEIRO;PP;MASCULINO
CAET√âS;VEREADOR;ANDERSON FERREIRA;REPUBLICANOS;MASCULINO
JUPI;VEREADOR;JOSELMA DE NATANAEL;MDB;FEMININO
CABO DE SANTO AGOSTINHO;VEREADOR;ROBINHO JOGADOR;SOLIDARIEDADE;MASCULINO
CABO DE SANTO AGOSTINHO;VEREADOR;GISELE DE DUDINHA;PP;FEMININO
CABO DE SANTO AGOSTINHO;VEREADOR;RODRIGO NETO;PSDB;MASCULINO
CABO DE SANTO AGOSTINHO;VEREADOR;NAELSON VALERIO;PL;MASCULINO
RIACHO DAS ALMAS;VEREADOR;VANDILSON BARBEIRO;PSB;MASCULINO
RIACHO DAS ALMAS;VEREADOR;ABENILDO DA RAMADA;PSDB;MASCULINO
RIACHO DAS ALMAS;VEREADOR;TIAGO DO RANGEL;PT;MASCULINO
IBIMIRIM;VEREADOR;HERON DA MADEIRA;PSDB;MASCULINO
JOAQUIM NABUCO;VEREADOR;ISAIAS;PP;MASCULINO
SANTA CRUZ;VEREADOR;HOZANA DO SINDICATO;AVANTE;FEMININO
SANTA CRUZ;VEREADOR;TELVANDO;AVANTE;MASCULINO
SANTA CRUZ;VEREADOR;LUCIANO NUNES;PSB;MASCULINO
SANTA CRUZ;VEREADOR;RITA AMARAL;PSB;FEMININO
S√ÉO LOUREN√áO DA MATA;VEREADOR;MIQU√âIAS LIMA;REPUBLICANOS;MASCULINO
S√ÉO LOUREN√áO DA MATA;VEREADOR;CUSCUZ DO POVO;PSB;MASCULINO
TERRA NOVA;VEREADOR;BADO DAVID;UNI√ÉO;MASCULINO
TERRA NOVA;VEREADOR;LIVINO CLEMENTINO;AVANTE;MASCULINO
VERDEJANTE;PREFEITO;XIC√ÉO TAVARES;PSDB;MASCULINO
CARUARU;VEREADOR;J√öNIOR LETAL;PP;MASCULINO
CARUARU;VEREADOR;JO√ÉO NETO;PSD;MASCULINO
CARUARU;VEREADOR;HUGO LEONARDO CHAVES;PODE;MASCULINO
CORRENTES;VEREADOR;JACI DE PO√áO COMPRIDO;PSB;FEMININO
OROB√ì;VEREADOR;LAL√Å DO POVO;UNI√ÉO;MASCULINO
SIRINHA√âM;VEREADOR;NEM DA BARRA;PSD;MASCULINO
SIRINHA√âM;VEREADOR;CL√ÅUDIA DE DR. RICARDO;PSD;FEMININO
XEX√âU;VEREADOR;PROFESSORA JACIANA;PSDB;FEMININO
XEX√âU;VEREADOR;CAIXA D √ÅGUA;PL;MASCULINO
PARNAMIRIM;PREFEITO;M√öCIO ANGELIM;PP;MASCULINO
